Generation;AvgFitness;MaxFitness
532;6226,877441;7517,288086
531;6278,149902;7514,064941
530;6226,541504;7512,591797
529;6571,211426;7513,543945
528;6590,455078;7513,654785
527;6439,944336;7513,961426
526;6025,046875;7517,539062
525;6280,149414;7513,287109
524;6378,59668;7512,976562
523;6291,616699;7515,55127
522;6258,154297;7512,830566
521;6379,608887;7512,817383
520;6128,359375;7514,137695
519;6106,678223;7513,983398
518;6024,480957;7513,227051
517;6299,233887;7514,104004
516;5896,242188;7512,708984
515;5905,194824;7512,709473
514;6086,096191;7512,856934
513;6399,628418;7516,739258
512;6218,592773;7513,342773
511;6198,939453;7514,425781
510;6288,695312;7517,60791
509;6076,708984;7514,516602
508;6005,889648;7518,069336
507;6147,247559;7512,901855
506;6480,152344;7515,119141
505;6309,798828;7514,082031
504;6208,430664;7515,823242
503;6238,023438;7513,945801
502;6117,940918;7514,427734
501;6439,053223;7513,858398
500;6087,041016;7513,834961
499;5984,865723;7513,563965
498;5796,294922;7514,870605
497;5813,240723;7512,879395
496;5986,156738;7513,400391
495;6176,596191;7513,259277
494;6227,741699;7512,998535
493;5836,118164;7513,765137
492;6238,542969;7522,574707
491;6279,209961;7522,261719
490;6066,211914;7512,60498
489;6118,282227;7513,96582
488;6056,424805;7514,489258
487;6419,104004;7512,62207
486;6118,449219;7513,708008
485;6087,861328;7512,876953
484;6025,700684;7512,552246
483;6189,289062;7513,772949
482;6147,617188;7515,136719
481;5986,366699;7513,657715
480;6064,674805;7512,827637
479;6108,785645;7514,516602
478;6126,913086;7528,391113
477;6217,517578;7513,614746
476;6225,902344;7513,292969
475;5996,266113;7513,695801
474;5923,411621;7514,006836
473;5964,366699;7515,033691
472;6390,101074;7515,04541
471;5963,626465;7513,040039
470;5814,37207;7513,339355
469;5782,246094;7515,29541
468;5771,508789;7514,963379
467;6013,890137;7513,541016
466;5784,789551;7514,75293
465;6054,532715;7513,928711
464;5407,42334;7513,836426
463;6206,493164;7516,336426
462;5542,545898;7514,602051
461;5771,999023;7513,621094
460;5855,478027;7513,835938
459;6004,930176;7513,178711
458;5781,996094;7576,266602
457;6216,272461;7518,539551
456;5914,97168;7514,295898
455;5903,487793;7513,794922
454;5823,695801;7515,64209
453;5852,503418;7514,089844
452;6225,543457;7513,90918
451;6164,523926;7513,584473
450;6167,061035;7513,665039
449;5934,670898;7513,504395
448;5653,274902;7513,694824
447;6098,009766;7524,270996
446;6027,404297;7513,848145
445;5876,612305;7512,991211
444;6379,288086;7514,794434
443;6015,949707;7513,421387
442;5621,161133;7513,72168
441;6207,053711;7513,09082
440;5955,753418;7513,182129
439;6380,629395;7513,855469
438;6177,783691;7512,783203
437;6279,3125;7513,15918
436;6107,1875;7512,774902
435;6207,779785;7513,803711
434;6055,438965;7513,144531
433;6265,483887;7514,045898
432;5844,104004;7514,838379
431;6126,659668;7514,293945
430;6067,558105;7514,115723
429;6268,882812;7519,515625
428;6682,745605;7513,219727
427;5913,480469;7513,469727
426;6390,186035;7514,701172
425;5914,209961;7513,678223
424;6560,720215;7514,068359
423;6015,176758;7515,963867
422;5811,148438;7513,099121
421;6237,475586;7513,052246
420;6077,665527;7513,696289
419;6047,067871;7513,150879
418;6296,696777;7514,756836
417;5944,728027;7520,092285
416;5903,854004;7516,296875
415;5662,333496;7515,264648
414;5974,525879;7517,715332
413;5822,92041;7512,571777
412;6056,04541;7514,26123
411;6035,656738;7518,371094
410;5913,129395;7518,401855
409;6046,044922;7523,030762
408;5752,45166;7513,763184
407;6084,878418;7514,353516
406;5915,62207;7514,555176
405;5863,236816;7516,806152
404;5732,295898;7513,562988
403;5965,527344;7517,948242
402;5885,193848;7516,401367
401;5895,091797;7514,120117
400;5652,621094;7516,856934
399;5825,031738;7513,092285
398;5794,509766;7520,500977
397;5934,836426;7513,684082
396;5975,955078;7514,431641
395;5661,352051;7513,287109
394;5702,725586;7514,264648
393;5552,628418;7514,027344
392;5492,130859;7514,988281
391;5731,662598;7515,824219
390;6227,728516;7514,10498
389;5794,181152;7518,73584
388;5824,049316;7513,904785
387;6037,347168;7522,023438
386;5694,212402;7516,84082
385;5794,500488;7514,071777
384;5581,944824;7517,990234
383;5837,150879;7514,664062
382;5464,376465;7513,57373
